Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1971,11015853,167000,0.01515997,15.15997,11.1333,,15000,0.0013616739,13.616738999999999,,,0,0,0,0,0,0,167000,0.01515997,15.15997,147000,0.013344404,13.344404,,,,,,,5000,0.00045389132,0.45389132000000004,13.321354,36.496859909004,27.752821,0.4419894,0.07195176
,Afghanistan,1972,11286753,158000,0.0139987115,13.9987115,10.3947,,15200,0.0013467115,13.467115,,,0,0,0,0,0,0,158000,0.0139987115,13.9987115,138000,0.012226723,12.226723,,,,,,,5000,0.0004429972,0.4429972,12.2457075,33.549883226145,24.759645,0.40234423,0.06189911
,Afghanistan,1973,11575308,165000,0.014254481,14.254481,11,,15000,0.0012958619,12.958619,,,0,0,0,0,0,0,165000,0.014254481,14.254481,143000,0.012353883,12.353883,,,,,,,5000,0.00043195396,0.43195396,12.363676,33.873084592776,25.843805,0.40316334,0.072362654
,Afghanistan,1974,11869881,182000,0.015332925,15.332925000000001,10.9639,,16600,0.0013984976,13.984976000000001,,,0,0,0,0,0,0,182000,0.015332925,15.332925000000001,160000,0.0134794945,13.4794945,,,,,,,5000,0.0004212342,0.4212342,13.442595,36.82902702897,27.919235,0.44463968,0.0723832
,Afghanistan,1975,12157390,194500,0.0159985,15.998499999999998,11.441199,,17000,0.0013983265,13.983265000000001,,,0,0,0,0,0,0,195000,0.016039627,16.039627,169000,0.01390101,13.90101,,,,,,,6000,0.000493527,0.493527,13.886566,38.045385920916004,28.908836,0.45428172,0.07227209
,Afghanistan,1976,12425276,354000,0.028490312,28.490312,17.8788,,19800,0.001593526,15.935260000000001,,,0,0,0,0,0,0,354000,0.028490312,28.490312,324000,0.02607588,26.075879999999998,,,,,,,11000,0.0008852922,0.8852922000000001,26.108177,71.52925133950201,53.597523,0.8554989,0.14430103
,Afghanistan,1977,12687308,200000,0.015763786,15.763785999999998,10.526299,,19000,0.0014975596,14.975596000000001,,,0,0,0,0,0,0,200000,0.015763786,15.763785999999998,176000,0.013872131,13.872131,,,,,,,6000,0.00047291355,0.47291355,13.868899,37.996983181674004,28.765125,0.4520234,0.07191281
,Afghanistan,1978,12938864,250000,0.019321634,19.321634,13.7362995,,18200,0.001406615,14.06615,,,0,0,0,0,0,0,250000,0.019321634,19.321634,225000,0.01738947,17.38947,,,,,,,8000,0.0006182923,0.6182923,17.394108,47.655089934408,35.70638,0.5713021,0.09181641
,Afghanistan,1979,12986378,257000,0.019789968,19.789968000000002,14.3575,,17900,0.0013783674,13.783674000000001,,,1000,0.000077003766,0.077003766,0,0,0,258000,0.019866971,19.866971,232000,0.017864874,17.864874,,,,,,,8000,0.0006160301,0.6160301,17.885098,49.000268003148,36.750202,0.59208655,0.10208389
,Afghanistan,1980,12486640,266000,0.021302769,21.302768999999998,14.8603,,17900,0.0014335321,14.335321,,,0,0,0,0,0,0,266000,0.021302769,21.302768999999998,240000,0.019220542,19.220542000000002,,,,,,,8000,0.00064068474,0.64068474,19.252832,52.74748440403201,39.054543,0.63331693,0.105552815
,Afghanistan,1981,11155196,273000,0.0244729,24.4729,15.423699,,17700,0.0015867045,15.867045,,,0,0,0,0,0,0,273000,0.0244729,24.4729,247000,0.022142148,22.142148,,,,,,,8000,0.0007171546,0.7171546,22.162182,60.71830624213201,45.32381,0.7321539,0.1162149
,Afghanistan,1982,10088290,273000,0.027061077,27.061077,15.511399,,17600,0.001744597,17.44597,,,0,0,0,0,0,0,273000,0.027061077,27.061077,248000,0.024582958,24.582957999999998,,,,,,,8000,0.0007929986,0.7929986,24.558449,67.28342124497401,50.093723,0.80149955,0.13775773
,Afghanistan,1983,9951447,268000,0.026930757,26.930757,15.7647,,17000,0.0017082943,17.082943,,,0,0,0,0,0,0,268000,0.026930757,26.930757,242000,0.024318071,24.318071,,,,,,,8000,0.0008039032,0.8039031999999999,24.308216,66.59785138881601,50.437088,0.79961234,0.13531901
,Afghanistan,1984,10243689,260000,0.025381481,25.381481,14.4444,,18000,0.0017571795,17.571794999999998,,,0,0,0,0,0,0,260000,0.025381481,25.381481,235000,0.022940954,22.940953999999998,,,,,,,8000,0.00078096864,0.78096864,22.900995,62.74245142737001,47.445213,0.75218016,0.12729204
,Afghanistan,1985,10512220,248000,0.023591591,23.591590999999998,14.090899,,17600,0.001674242,16.74242,,,0,0,0,0,0,0,248000,0.023591591,23.591590999999998,226000,0.021498788,21.498788,,,,,,,7000,0.0006658917,0.6658917,21.451914,58.772366535564,43.868946,0.7019031,0.1206396
,Afghanistan,1986,10448447,238000,0.022778505,22.778505000000003,15.866699,,15000,0.00143562,14.356200000000001,,,0,0,0,0,0,0,238000,0.022778505,22.778505000000003,217000,0.020768637,20.768637,,,,,,,7000,0.00066995603,0.6699560299999999,20.759651,56.875755595626,43.11454,0.679054,0.118564986
,Afghanistan,1987,10322767,217000,0.021021495,21.021495,15.5,,14000,0.0013562255,13.562254999999999,,,0,0,0,0,0,0,217000,0.021021495,21.021495,196000,0.018987156,18.987156000000002,,,,,,,7000,0.00067811273,0.67811273,19.033548,52.146706327848,38.581516,0.6215911,0.10717088
,Afghanistan,1988,10383459,218000,0.02099493,20.99493,15.5714,,14000,0.0013482983,13.482983,,,0,0,0,0,0,0,218000,0.02099493,20.99493,198000,0.01906879,19.06879,,,,,,,7000,0.00067414914,0.6741491399999999,19.080719,52.275941942993995,39.243282,0.6257712,0.10606293
,Afghanistan,1989,10673172,203000,0.01901965,19.01965,15.2632,,13300,0.0012461151,12.461151,,,0,0,0,0,0,0,203000,0.01901965,19.01965,184000,0.017239487,17.239487,,,,,,,6000,0.00056215713,0.56215713,17.20103,47.12610911778,35.726025,0.56741333,0.09456889
,Afghanistan,1990,10694804,224000,0.02094475,20.944750000000003,16.8421,,13300,0.0012435946,12.435946,,,1000,0.00009350335,0.09350335,0,0,0,225000,0.021038253,21.038253,205000,0.019168187,19.168187,,,,,,,7000,0.00065452344,0.6545234400000001,19.162628,52.500350159928004,39.48796,0.625226,0.10968878
,Afghanistan,1991,10745168,223000,0.020753514,20.753514,16.6418,,13400,0.0012470721,12.470721,,,0,0,0,0,0,0,223000,0.020753514,20.753514,203000,0.018892212,18.892211999999997,,,,,,,7000,0.0006514556,0.6514556,18.897163,51.773048797338,38.73332,0.6220805,0.10563632
,Afghanistan,1992,12057436,225000,0.018660683,18.660683000000002,16.6667,,13500,0.001119641,11.19641,,,5000,0.00041468185,0.41468184999999996,0,0,0,230000,0.019075366,19.075366,210000,0.017416637,17.416636999999998,,,,,,,7000,0.0005805546,0.5805546,17.377495,47.609574866370004,35.511032,0.5727586,0.091641374
,Afghanistan,1993,14003764,227000,0.016209928,16.209927999999998,16.6912,,13600,0.00097116746,9.7116746,,,4000,0.00028563748,0.28563748,0,0,0,231000,0.016495565,16.495565,210000,0.014995968,14.995968,,,,,,,7000,0.0004998656,0.4998656,15.019212,41.148525615912,30.341843,0.49847314,0.08669098
,Afghanistan,1994,15455560,229000,0.014816674,14.816674,16.5942,,13800,0.0008928826,8.928826,,,3000,0.0001941049,0.1941049,0,0,0,232000,0.01501078,15.01078,211000,0.013652045,13.652045,,,,,,,7000,0.00045291145,0.45291145,13.684561,37.491947570286,27.731768,0.44797468,0.074662454
,Afghanistan,1995,16418911,231000,0.014069143,14.069142999999999,16.6187,,13900,0.0008465848,8.465848,,,2000,0.00012181076,0.12181076,0,0,0,233000,0.014190953,14.190952999999999,212000,0.01291194,12.91194,,,,,,,7000,0.00042633765,0.42633765,12.895827,35.331032523402,26.77705,0.4284328,0.074975744
,Afghanistan,1996,17106600,233000,0.013620474,13.620474,16.6429,,14000,0.00081839756,8.1839756,,,2000,0.00011691394,0.11691394,0,0,0,235000,0.013737388,13.737388,213000,0.012451335,12.451334999999998,,,,,,,7000,0.00040919878,0.40919878000000004,12.476462,34.182087329412,25.835642,0.40906432,0.064589106
,Afghanistan,1997,17788818,235000,0.013210546,13.210546,16.7857,,14000,0.00078701123,7.8701123,,,0,0,0,0,0,0,235000,0.013210546,13.210546,214000,0.012030029,12.030028999999999,,,,,,,7000,0.00039350562,0.39350562,12.029256,32.956865423856,24.593145,0.39562887,0.06415603
,Afghanistan,1998,18493134,235000,0.012707419,12.707419,16.7857,,14000,0.0007570377,7.570377000000001,,,0,0,0,0,0,0,235000,0.012707419,12.707419,214000,0.011571863,11.571863,,,,,,,7000,0.00037851886,0.37851885999999996,11.576029,31.715147628054,24.248512,0.37954196,0.06325699
,Afghanistan,1999,19262854,235000,0.012199646,12.199646,16.7857,,14000,0.00072678743,7.2678743,,,4000,0.00020765355,0.20765355,0,0,0,239000,0.012407299,12.407299,217000,0.011265205,11.265205,,,,,,,7000,0.00036339372,0.36339372,11.278634,30.900366814284002,22.827044,0.37353346,0.062255573
,Afghanistan,2000,19542986,235000,0.012024774,12.024774,16.7857,,14000,0.00071636954,7.1636954,,,14000,0.00071636954,0.71636954,9000,0.00046052327,0.46052327000000004,240000,0.012280621,12.280621,219000,0.011206066,11.206066,,,,,,,7000,0.00035818477,0.35818477,11.202221,30.691016131446002,23.184277,0.36884075,0.063229844
,Afghanistan,2001,19688634,235000,0.011935821,11.935820999999999,16.7857,,14000,0.00071107014,7.110701400000001,,,6000,0.00030474435,0.30474435,5000,0.00025395362,0.25395362,236000,0.011986611,11.986611,215000,0.010920006,10.920005999999999,,,,,,,7000,0.00035553507,0.35553507,10.918703,29.914254495378003,22.769888,0.35781255,0.06505682
,Afghanistan,2002,21000258,230000,0.010952246,10.952246,16.4286,,14000,0.00066665845,6.6665845,,,21000,0.0009999877,0.9999876999999999,6000,0.00028571076,0.28571076,245000,0.011666523,11.666523,217000,0.0103332065,10.333206500000001,,,,,,,8000,0.0003809477,0.3809477,10.308409,28.242216155934,21.145454,0.33832726,0.05286364
,Afghanistan,2003,22645136,350000,0.015455858,15.455858,16.6667,,21000,0.0009273515,9.273515,,,28000,0.0012364687,1.2364686999999999,4000,0.00017663838,0.17663838,375000,0.016559847,16.559846999999998,347000,0.015323379,15.323379,,,,,,,11000,0.00048575553,0.48575553,15.301689,41.922435197214,31.644588,0.50018865,0.08166345
,Afghanistan,2004,23553554,300000,0.012736931,12.736931,17.6471,,17000,0.00072175945,7.217594500000001,,,9000,0.00038210794,0.38210794,3000,0.00012736932,0.12736932,306000,0.01299167,12.991670000000001,276000,0.011717977,11.717977,,,,,,,9000,0.00038210794,0.38210794,11.737452,32.157402418151996,24.474268,0.38750926,0.06118567
,Afghanistan,2005,24411196,300000,0.012289443,12.289443,15,,20000,0.00081929617,8.1929617,,,27000,0.0011060499,1.1060499000000001,3000,0.00012289443,0.12289443000000001,324000,0.013272598,13.272598,294000,0.012043654,12.043654,,,,,,,10000,0.00040964808,0.40964807999999997,12.058166,33.036070902516,24.442226,0.3971862,0.061105568
,Afghanistan,2006,25442946,300000,0.011791088,11.791088,15,,20000,0.0007860725,7.860725,,,29000,0.0011398051,1.1398051,5000,0.00019651813,0.19651812999999999,324000,0.012734374,12.734373999999999,294000,0.011555266,11.555266,,,,,,,10000,0.00039303626,0.39303625999999997,11.564851,31.684522970826002,24.17739,0.38280866,0.060443472
,Afghanistan,2007,25903306,300800,0.011612417,11.612417,15.04,,20000,0.0007721022,7.721022,,,1000,0.00003860511,0.03860511,13000,0.00050186645,0.5018664500000001,289000,0.0111568775,11.1568775,260000,0.010037329,10.037329,,,,,,,9000,0.000347446,0.34744600000000003,10.029652,27.478498355352002,20.344122,0.32550594,0.050860304
,Afghanistan,2008,26427204,280000,0.010595143,10.595143,14,,20000,0.0007567959,7.567959,,,10000,0.00037839796,0.37839796,18000,0.0006811163,0.6811163,272000,0.010292425,10.292425,242000,0.00915723,9.15723,,,,,,,9000,0.00034055815,0.34055815,9.154823,25.081706598498002,18.411936,0.29663673,0.05114427
,Afghanistan,2009,27385310,302400,0.011042416,11.042416,14,,21600,0.000788744,7.88744,,,0,0,0,23000,0.00083986635,0.83986635,279000,0.0101879435,10.1879435,250000,0.009128982,9.128982,,,,,,,9000,0.00032864333,0.32864332999999996,9.1262865,25.003524407499004,19.223883,0.303535,0.050589167
,Afghanistan,2010,28189672,246000,0.008726601,8.726601,12,,20500,0.0007272167,7.272167,,,0,0,0,26000,0.0009223236,0.9223236,220000,0.007804277,7.804277,189000,0.0067045833,6.7045832999999995,,,,,,,11000,0.00039021383,0.39021383,6.6883206,18.3241658441556,13.459469,0.21742217,0.041413747
,Afghanistan,2011,29249156,205000,0.007008749,7.008749,10,,20500,0.00070087495,7.0087494999999995,,,0,0,0,9000,0.00030770118,0.30770118,196000,0.006701048,6.701048,167000,0.0057095666,5.7095666000000005,,,,,,,9000,0.00030770118,0.30770118,5.7146726,15.6566371037076,11.326378,0.18534075,0.030890122
,Afghanistan,2012,30466484,230000,0.0075492794,7.5492794,10.952399,,21000,0.000689282,6.89282,,,0,0,0,4000,0.00013129182,0.13129182,226000,0.0074179876,7.4179876,195000,0.006400476,6.400476,,,,,,,10000,0.00032822954,0.32822954,6.3924756,17.5136316056856,13.296349,0.21478717,0.03068388
,Afghanistan,2013,31541216,302980,0.009605844,9.605844000000001,13.196,,22960,0.00072793645,7.279364500000001,,,0,0,0,41000,0.0012998865,1.2998865,500000,0.015852274,15.852274,459000,0.014552387,14.552387,,,,,,,22000,0.0006975001,0.6975001000000001,14.548564,39.859079053464,29.670067,0.4808597,0.08184846
,Afghanistan,2014,32716214,340257,0.010400256,10.400256,13.6054,,25009,0.0007644222,7.644222,,,153000,0.0046765804,4.6765804,7000,0.00021396119,0.21396119,486000,0.01485502,14.85502,440000,0.013448989,13.448989,0,0,0,,,,22000,0.0006724495,0.6724495,13.453986,36.860235247836,27.54038,0.43860608,0.071400985
,Afghanistan,2015,33753500,327507,0.009702905,9.702905,13.0903,,25019,0.00074122683,7.4122683,,,193000,0.0057179257,5.7179257,3000,0.00008887967,0.08887967,518000,0.015346557,15.346557,471000,0.013954109,13.954108999999999,0,0,0,,,,23000,0.00068141083,0.6814108299999999,13.9578905,38.240795508003,28.547913,0.45880574,0.07136978
,Afghanistan,2016,34636212,427917,0.012354613,12.354613,11.986799,,35699,0.0010306843,10.306842999999999,,,150000,0.0043307277,4.3307277,2000,0.000057743036,0.057743036,576000,0.016629994,16.629994,517000,0.014926574,14.926574,0,0,0,,,,26000,0.00075065944,0.75065944,14.935221,40.918413289446,30.646828,0.49034923,0.08172487
,Afghanistan,2017,35643420,513194,0.014398001,14.398001,15.9794,,32116,0.00090103585,9.0103585,,,383000,0.010745321,10.745321,5000,0.00014027835,0.14027835000000002,892000,0.025025656,25.025656,822000,0.02306176,23.06176,0,0,0,,,,40000,0.0011222268,1.1222268000000002,23.054506,63.163029505356,47.860504,0.7535483,0.122197025
,Afghanistan,2018,36686788,615684,0.016782172,16.782172000000003,19.0026,,32400,0.0008831517,8.831517,,,332000,0.0090495795,9.0495795,12000,0.00032709324,0.32709324,936000,0.025513273,25.513272999999998,866000,0.023605227,23.605227,0,0,0,,,,41000,0.0011175686,1.1175686,23.587896,64.624371956496,47.621613,0.75991935,0.12158709
,Afghanistan,2019,37769496,921122,0.024387987,24.387987,16.1413,,57066,0.0015109018,15.109018,,,188000,0.004977562,4.977562,6000,0.00015885835,0.15885834999999998,1104000,0.029229937,29.229937,978000,0.025893912,25.893912,0,0,0,,,,47000,0.0012443905,1.2443905,25.885424,70.91896915382401,51.36796,0.82591623,0.13093793
,Afghanistan,2020,38972236,855395,0.021948831,21.948831,15.936899,,53674,0.0013772369,13.772369000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1961,291178000,2079160,0.008766262,8.766262000000001,8.138568,,255470,0.0010771258,10.771258,,,369000,0.0014426757,1.4426757000000001,196000,0.00080507953,0.8050795300000001,2189000,0.0085583115,8.5583115,1621000,0.0063376077,6.3376077,41000,0.0003876055,0.38760550000000005,10000,0.00005302582,0.053025819999999994,212000,0.0008735716,0.8735716,6.3388147,17.3666154427722,12.5792465,0.25293592,0.019891305
,Africa,1962,298334460,2127292,0.008750708,8.750708,7.680143,,276986,0.0011393939,11.393939,,,277000,0.0010573355,1.0573355,323000,0.0012949824,1.2949824,2001000,0.007638009,7.638009,1420000,0.005420276,5.420276,42000,0.0003878298,0.3878298,10000,0.000051777908,0.051777908,209000,0.00084046426,0.84046426,5.4198155,14.848809440553001,10.625465,0.2169115,0.016624428
,Africa,1963,305755600,2276867,0.00913516,9.135159999999999,7.8213286,,291110,0.0011679806,11.679806000000001,,,227000,0.00084567704,0.84567704,256000,0.0010014565,1.0014565,2174000,0.008099128,8.099128,1595000,0.0059420923,5.9420923,49000,0.00044184353,0.44184353,15000,0.000075810596,0.075810596,216000,0.0008474153,0.8474153,5.934848,16.259857371648,11.744322,0.23490621,0.018662624
,Africa,1964,313466080,2171469,0.008494915,8.494915,7.8559713,,276410,0.0010813323,10.813323,,,233000,0.0008469931,0.8469931,203000,0.00077464606,0.77464606,2123000,0.0077174525,7.7174525,1535000,0.0055799764,5.5799764,49000,0.0004313656,0.4313656,19000,0.000093698625,0.09369862500000001,209000,0.0007997826,0.7997825999999999,5.5641217,15.244168888654201,11.058879,0.22024983,0.01700358
,Africa,1965,321447400,2353946,0.008977086,8.977086,8.1446905,,289016,0.001102201,11.02201,,,194000,0.0006879573,0.6879573,204000,0.00075915654,0.75915654,2275000,0.00806754,8.06754,1694000,0.0060072145,6.0072145,48000,0.00041245506,0.41245506000000004,19000,0.00009140596,0.09140596,221000,0.0008247332,0.8247331999999999,6.0013824,16.4421433972224,11.859005,0.2378975,0.019302793
,Africa,1966,329658400,2268326,0.008431918,8.431918,8.300677,,273270,0.0010158109,10.158109,,,197000,0.00068135303,0.68135303,217000,0.0007873617,0.7873617,2196000,0.0075951843,7.5951843000000006,1609000,0.0055649597,5.5649597,50000,0.00041921285,0.41921284999999997,18000,0.000084450825,0.08445082500000001,215000,0.00078232546,0.7823254599999999,5.5767083,15.2786527239258,10.934591,0.22125587,0.01670607
,Africa,1967,338159970,2354578,0.00852947,8.529470000000002,8.222297,,286365,0.0010373587,10.373586999999999,,,162000,0.00054633134,0.5463313399999999,196000,0.0006932495,0.6932495,2249000,0.007584563,7.584563,1615000,0.0054464513,5.4464513000000006,58000,0.00047437623,0.47437623,22000,0.000100640405,0.100640405,210000,0.0007449076,0.7449076,5.4497952,14.9309456041152,10.7625265,0.21931459,0.015231821
,Africa,1968,346980400,2614671,0.009228018,9.228017999999999,8.538176,,306233,0.0010807951,10.807951000000001,,,204000,0.0006706199,0.6706199,183000,0.00063079066,0.63079066,2565000,0.008432059,8.432059,1841000,0.006052016,6.052016,64000,0.00051054737,0.5105473700000001,27000,0.00012041038,0.12041038,240000,0.0008296725,0.8296725,6.0624566,16.6094699708916,11.971262,0.23891766,0.019732011
,Africa,1969,356070660,2772829,0.009533284,9.533284,8.164769,,339609,0.0011676123,11.676123,,,175000,0.0005606757,0.5606757,196000,0.0006582739,0.6582739,2677000,0.008576736,8.576736,1937000,0.006205879,6.205879,62000,0.00048225024,0.48225024,26000,0.000113023234,0.113023234,250000,0.0008421108,0.8421108,6.2163463,17.0310855831138,12.2787895,0.24716404,0.019007763
,Africa,1970,365450430,3002423,0.010054834,10.054834,8.720799,,344283,0.0011529715,11.529715,,,202000,0.00063062366,0.63062366,221000,0.00072305807,0.72305807,2897000,0.0090441415,9.0441415,2122000,0.0066246702,6.6246702,72000,0.0005459056,0.5459056000000001,27000,0.000114406495,0.114406495,271000,0.00088929065,0.8892906500000001,6.625688,18.152569681488,13.000504,0.26304537,0.020757655
,Africa,1971,375086300,2970335,0.009690105,9.690104999999999,8.104818,,366490,0.001195598,11.95598,,,177000,0.00053843966,0.53843966,188000,0.00059918594,0.5991859399999999,2852000,0.008675875,8.675875,2081000,0.006330468,6.330468,72000,0.0005320257,0.5320257,24000,0.00009914215,0.09914215,262000,0.00083755254,0.83755254,6.339176,17.367605305776,12.471395,0.25350195,0.019959461
,Africa,1972,384930780,3290146,0.010458652,10.458652,8.876644,,370652,0.0011782213,11.782213,,,161000,0.00047718929,0.47718929000000004,207000,0.0006426136,0.6426136,3150000,0.009336312,9.336312,2312000,0.0068525565,6.8525564999999995,79000,0.0005687286,0.5687286,40000,0.00016107841,0.16107841,292000,0.0009092467,0.9092467,6.8534455,18.776562825933002,13.433457,0.27143997,0.021945428
,Africa,1973,395212400,3624320,0.011221797,11.221797,8.487928,,426997,0.0013220891,13.220891,,,230000,0.0006639247,0.6639247,221000,0.00066800055,0.66800055,3482000,0.010051242,10.051242,2590000,0.0074763694,7.4763694,73000,0.0005117341,0.5117341000000001,34000,0.00013341106,0.13341106,333000,0.0010096135,1.0096135000000002,7.4809203,20.4956718498378,14.731731,0.29254875,0.025068814
,Africa,1974,406069220,3737945,0.01126609,11.26609,8.433326,,443235,0.0013359013,13.359013,,,253000,0.0007110305,0.7110305,194000,0.0005707523,0.5707523,3657000,0.010277622,10.277622000000001,2730000,0.0076723844,7.6723844,82000,0.0005593894,0.5593894,37000,0.00014139172,0.14139172,347000,0.0010240052,1.0240052,7.666879,21.005147735154,15.049451,0.30258274,0.025040768
,Africa,1975,417557000,4070951,0.011934588,11.934588,8.526909,,477424,0.0013996381,13.996381,,,243000,0.00066436274,0.6643627400000001,154000,0.00044063537,0.44063537,3996000,0.010925077,10.925077,2998000,0.008196541,8.196541,89000,0.000589697,0.589697,37000,0.0001375326,0.1375326,375000,0.0010762431,1.0762431,8.208653,22.489460049078,16.162123,0.32469326,0.027091438
,Africa,1976,429573250,4397553,0.012532633,12.532632999999999,8.307772,,529330,0.0015085432,15.085432,,,205000,0.0005449219,0.5449219,262000,0.0007286124,0.7286124,4182000,0.011116407,11.116407,3113000,0.008274838,8.274837999999999,87000,0.0005590254,0.5590254,40000,0.00014449895,0.14449895000000001,417000,0.0011632218,1.1632217999999999,8.27367,22.66758881442,16.298555,0.32703266,0.027429216
,Africa,1977,441701760,4602596,0.012564722,12.564722,8.658006,,531600,0.0014512258,14.512258000000001,,,269000,0.0006956907,0.6956907,262000,0.0007086606,0.7086606000000001,4433000,0.011464672,11.464672,3295000,0.008521564,8.521564,96000,0.0005985348,0.5985348,46000,0.0001615194,0.1615194,427000,0.0011585936,1.1585936000000001,8.523462,23.351950451412,16.886614,0.33496547,0.028973384
,Africa,1978,454463040,4671841,0.012407021,12.407021,8.479717,,550943,0.0014631408,14.631408,,,304000,0.00076511083,0.76511083,170000,0.00044734337,0.44734336999999996,4653000,0.011710726,11.710726,3484000,0.0087685725,8.7685725,115000,0.0006960456,0.6960456,49000,0.00016726633,0.16726633,441000,0.0011642146,1.1642146,8.765547,24.015197020122,17.25474,0.3483603,0.028005635
,Africa,1979,467976260,5006994,0.012932825,12.932825,8.898143,,562701,0.0014534296,14.534296,,,422000,0.0010335979,1.0335979,174000,0.0004454445,0.44544449999999997,5110000,0.012515841,12.515841,3840000,0.00940525,9.40525,187000,0.0010986942,1.0986942,47000,0.00015595088,0.15595088000000001,464000,0.0011918355,1.1918355,9.403424,25.762805221824,18.588436,0.37235343,0.030711934
